Stop_ID,Stop_Name,Latitude,Longitude,Route_Number,Address,Additional_Info
11755184322,Ngã ba Phạm Ngũ Lão,10.8208396,106.6840333,Unknown,,platform
11755184323,Trường Đại học Công nghiệp,10.8228183,106.6855887,Unknown,,platform
11755184327,Uỷ ban Nhân dân Phường 5,10.8255046,106.6882739,Unknown,,platform
11755184328,Trường Đại học Công nghiệp,10.8227583,106.685291,Unknown,,platform
11755184329,Ngã ba Phạm Ngũ Lão,10.8209346,106.6838843,Unknown,,platform
11758401318,Ngã ba Nguyên Hồng,10.8173237,106.6889701,Unknown,,platform
11758401319,Trường Đại học Công nghiệp,10.8215704,106.6888169,Unknown,,platform
11758401320,Chùa Bà Thiên Hậu,10.8252687,106.6850477,Unknown,,platform
11758401321,Chi cục thuế Quận Gò Vấp,10.8263302,106.6828769,Unknown,,platform
11758401322,Siêu thị Văn Lang,10.826823,106.6791898,Unknown,,platform
11758401323,Công ty 32,10.8280499,106.6754841,Unknown,,platform
11758401324,Nhà thờ Xóm Thuốc,10.8290789,106.6726567,Unknown,,platform
11758401325,Uỷ ban Nhân dân Quận Gò Vấp,10.8310148,106.6691962,Unknown,,platform
11758401326,Viện kiểm sát Nhân dân Quận Gò Vấp,10.8329325,106.6667534,Unknown,,platform
11758401327,Chùa Huỳnh Kim,10.8351312,106.66347,Unknown,,platform
11758401328,City Mart,10.8358787,106.661043,Unknown,,platform
11758401330,Trường Trung học Phổ thông Nguyễn Công Trứ,10.837996,106.6525617,Unknown,,platform
11758401333,Công ty Đồng Tâm,10.8421979,106.6433668,Unknown,,platform
11758401335,Chợ Cầu,10.8454768,106.6385041,Unknown,,platform
11758401378,Chợ Cầu,10.8450313,106.63893,Unknown,,platform
11758401380,Làng Trẻ em SOS,10.8409176,106.6449864,Unknown,,platform
11758401381,Ngã ba Tân Sơn,10.8390477,106.6477731,Unknown,,platform
11758401383,Trường Trung học Phổ thông Nguyễn Công Trứ,10.8375308,106.6537446,Unknown,,platform
11758401385,City Mart,10.8356606,106.6611998,Unknown,,platform
11758401387,Viện Kiểm sát Nhân dân Quận Gò Vấp,10.8332286,106.6661438,Unknown,,platform
11758401388,Uỷ ban Nhân dân Quận Gò Vấp,10.8306291,106.669452,Unknown,,platform
11758401389,Nhà thờ Xóm Thuốc,10.8291979,106.671931,Unknown,,platform
11758401390,Xóm Thuốc,10.828465,106.67396,Unknown,,platform
11758401391,Công ty 32,10.8274963,106.6767504,Unknown,,platform
11758401392,Siêu thi Văn Lang,10.8267984,106.6788183,Unknown,,platform
11758401394,Chùa Bà Thiên Hậu,10.8252982,106.6848077,Unknown,,platform
11758401395,Trường Đại học Công nghiệp,10.8223941,106.6882625,Unknown,,platform
11758401396,Ngã ba Nguyên Hồng,10.8178842,106.6891579,Unknown,,platform
11773323797,Trường Cao đẳng Du lịch,10.8331127,106.6343858,Unknown,,platform
11773323798,Trung tâm y khoa Dân Sinh,10.834825,106.6351663,Unknown,,platform
11773323800,Nhà sách Phan Huy Ích,10.8394009,106.6372719,Unknown,,platform
11773323804,Ngã ba Cây Trâm,10.8458585,106.6432902,Unknown,,platform
11773323805,Đường số 53,10.8470705,106.6458235,Unknown,,platform
11773323806,Công ty Huê Phong,10.8481644,106.6480599,Unknown,,platform
11773323807,Chợ Thạch Đà,10.8495407,106.6509737,Unknown,,platform
11773323808,Nhà thờ Thạch Đà,10.8507683,106.6543077,Unknown,,platform
11773323809,Trung tâm Văn hóa Quận Gò Vấp,10.8513794,106.6575907,Unknown,,platform
11773323812,Nhà thờ Hà Nội,10.8510612,106.665124,Unknown,,platform
11773323813,Nhà thờ Trung Bắc,10.8491315,106.666056,Unknown,,platform
11773323814,Trường THCS Lý Tự Trọng,10.8464006,106.6705922,Unknown,,platform
11773323815,Bệnh viện Gò Vấp,10.8447306,106.6723759,Unknown,,platform
11773323816,Ngã ba Lê Hoàng Phái,10.8425407,106.6757129,Unknown,,platform
11773635191,Ngã tư An Nhơn,10.8422053,106.6762864,Unknown,,platform
11773635192,Bệnh viện Gò Vấp,10.845083,106.6720298,Unknown,,platform
11773635193,Trường Trung học Cơ sở Lý Tự Trọng,10.8472608,106.66935,Unknown,,platform
11773635194,Nhà thờ Trung Bắc,10.8491349,106.6661562,Unknown,,platform
11773635195,Nhà thờ Hà Nội,10.8518856,106.665299,Unknown,,platform
11773635196,Nhà thờ Hợp An,10.8537943,106.6643199,Unknown,,platform
11773635197,Trường Tiểu học Lê Thị Hồng Gấm 1,10.8529307,106.6617963,Unknown,,platform
11773635198,Trung tâm Văn hóa Quận Gò Vấp,10.851559,106.6578575,Unknown,,platform
11773635200,Chợ Thạch Đà,10.8497047,106.6511365,Unknown,,platform
