Stop_ID,Stop_Name,Latitude,Longitude,Route_Number,Address,Additional_Info
3181108999,Nhà khách Phía Nam,10.8326622,106.6726733,Tuyến Nguyễn Văn Lượng,,platform
3181109001,Chợ Thông Tây,10.8357743,106.6646738,Tuyến Nguyễn Văn Lượng,,platform
3182311219,Trạm Xe Bus Giao Lộ Nguyễn Huy Điển,10.8312359,106.6823679,Tuyến Cầu Vượt,,platform
3182311228,Trạm Xe Bus Giao Lộ Phạm Huy Thông,10.8338317,106.6819856,Tuyến Cầu Vượt,,platform
3182311229,Trường Văn Thư lưu trữ,10.8369521,106.6808536,Tuyến An Nhơn,,platform
3182311230,Trạm Xe Bus Chợ An Nhơn,10.8404239,106.6787172,Tuyến An Nhơn,,platform
5151366704,Trạm Xe Bus Hẻm 270 Nguyễn Văn Lượng,10.8385513,106.6722917,Tuyến Nguyễn Văn Lượng,,platform
5196280423,Bãi hậu cần số 1,10.8230139,106.691356,Tuyến Cầu Vượt,,platform
10964744893,Ngã tư An Nhơn,10.8415871,106.6764039,Tuyến An Nhơn,,platform
11753277712,Cầu vượt Ngã sáu Gò Vấp,10.8245516,106.6812196,Tuyến Cầu Vượt,,platform
11753277713,Cầu vượt Ngã sáu Gò Vấp,10.829166,106.6786557,Tuyến Cầu Vượt,,platform
11753277714,Ngã tư Phan Văn Trị,10.832444,106.6767129,Tuyến Cầu Vượt,,platform
11753277716,Ngã tư An Nhơn,10.84218,106.6767484,Tuyến An Nhơn,,platform
11753277749,Cầu An Lộc,10.84879,106.6785445,Tuyến An Nhơn,,platform
11753277751,Bưu điện An Nhơn,10.8439719,106.6772363,Tuyến An Nhơn,,platform
11753277753,Đài Liệt sĩ,10.8395033,106.675739,Tuyến An Nhơn,,platform
11753277754,Trường Vinhempic,10.8369333,106.6754577,Tuyến An Nhơn,,platform
11753277755,Cư xá Lam Sơn,10.8349731,106.6755864,Tuyến An Nhơn,,platform
11753277756,Ngã tư Phan Văn Trị,10.8316752,106.6769212,Tuyến Cầu Vượt,,platform
11753277758,Bệnh viện Quân y 175,10.8200217,106.6787507,Tuyến Công viên Gia Định,,platform
11753277759,Chợ Tân Sơn Nhất,10.8167716,106.6786775,Tuyến Công viên Gia Định,,platform
11753277760,Đầu Công viên Gia Định,10.8133403,106.6775919,Tuyến Công viên Gia Định,,platform
11755184322,Ngã ba Phạm Ngũ Lão,10.8208396,106.6840333,Tuyến Cầu Vượt,,platform
11755184323,Trường Đại học Công nghiệp,10.8228183,106.6855887,Tuyến Cầu Vượt,,platform
11755184327,Uỷ ban Nhân dân Phường 5,10.8255046,106.6882739,Tuyến Cầu Vượt,,platform
11755184328,Trường Đại học Công nghiệp,10.8227583,106.685291,Tuyến Cầu Vượt,,platform
11755184329,Ngã ba Phạm Ngũ Lão,10.8209346,106.6838843,Tuyến Cầu Vượt,,platform
11758401318,Ngã ba Nguyên Hồng,10.8173237,106.6889701,Tuyến Lê
